,GS,XZ,ZW
0,上海航傲信息科技有限公司,6001-8000,数据分析师
1,北京中公教育科技股份有限公司青岛分公司,3000-6000,数...
2,优创（青岛）数据技术有限公司,5000-8000,数据分析师
3,青岛泽瑞安防器材有限公司,4001-6000,数据分析师
4,青岛链家兴业房地产经纪有限公司,3500-5000,数据分析师
5,青岛东部土地房地产评估测绘顾问有限公司,3000-6000,数据分析师
6,上海海同优才教育培训有限责任公司,6001-8000,数据分析师
7,青岛诺展网络科技有限公司,2001-4000,数据分析师
8,上海武创信息科技有限公司,6001-8000,数据分析师
9,沈阳茵特机电设备有限公司,6001-8000,数据分析师
10,青岛金诺国际会展有限公司,2001-4000,数据分析师
11,北京巨鼎君富投资有限公司青岛代表处,3000-5000,数据分析师
12,烟台创迹软件有限公司,5000-8000,数据分析师
13,青岛循实投资管理有限公司,4001-6000,数据分析师
14,上海如创网络技术有限公司,6001-8000,数据分析师
15,青岛易联万家科技有限公司,15000-30000,数据分析师
16,北京三六九云智汇科技有限公司青岛分公司,4001-6000,数据分析师
17,青岛联信商务咨询有限公司,6500-13000,数据分析师
18,沈阳茵特机电设备有限公司,6001-8000,数据分析师
19,上海海同优才教育培训有限责任公司,6001-8000,数据分析师
20,上海如创网络技术有限公司,6001-8000,数据分析师
21,青岛开心贷投资管理有限公司,4001-6000,数据分析师
22,上海海同优才教育培训有限责任公司,6001-8000,数据分析师
23,上海如创网络技术有限公司,6001-8000,数据分析师
24,沈阳茵特机电设备有限公司,6001-8000,数据分析师
25,上海尼隆信息科技有限公司,6001-8000,数据分析师
26,上海航傲信息科技有限公司,6001-8000,数据分析师
27,中车青岛四方机车车辆股份有限公司,20001-30000,数据分析师
28,青岛钱吧金融信息服务有限公司,8001-10000,数据分析师
29,上海海同优才教育培训有限责任公司,6001-8000,数据分析师
30,上海尼隆信息科技有限公司,6001-8000,数据分析师
31,海尔集团公司,8333-16666,数据分析师
32,上海航傲信息科技有限公司,6001-8000,数据分析师
33,上海航傲信息科技有限公司,6001-8000,数据分析师
34,上海武创信息科技有限公司,6001-8000,数据分析师
35,上海尼隆信息科技有限公司,6001-8000,数据分析师
36,上海海同优才教育培训有限责任公司,6001-8000,数据分析师
37,上海如创网络技术有限公司,6001-8000,数据分析师
38,上海如创网络技术有限公司,6001-8000,数据分析师
39,上海武创信息科技有限公司,6001-8000,数据分析师
40,上海如创网络技术有限公司,1000元以下,数据分析师
41,上海海同优才教育培训有限责任公司,6001-8000,数据分析师
42,上海如创网络技术有限公司,6001-8000,数据分析师
43,北京三六九云智汇科技有限公司青岛分公司,4001-6000,数据分析师
44,上海三越软件科技有限公司,6001-8000,数据分析师
45,上海如创网络技术有限公司,6001-8000,数据分析师
46,上海如创网络技术有限公司,6001-8000,数据分析师
47,沈阳茵特机电设备有限公司,6001-8000,数据分析师
48,沈阳茵特机电设备有限公司,6001-8000,数据分析师
49,上海尼隆信息科技有限公司,6001-8000,数据分析师
50,上海如创网络技术有限公司,6001-8000,数据分析师
51,上海如创网络技术有限公司,6001-8000,数据分析师
52,上海海同优才教育培训有限责任公司,6001-8000,数据分析师
53,上海尼隆信息科技有限公司,6001-8000,数据分析师
54,上海如创网络技术有限公司,6001-8000,数据分析师
55,上海三越软件科技有限公司,6001-8000,数据分析师
56,上海三越软件科技有限公司,6001-8000,数据分析师
57,上海三越软件科技有限公司,6001-8000,数据分析师
58,上海海同优才教育培训有限责任公司,6001-8000,数据分析师
59,上海海同优才教育培训有限责任公司,6001-8000,数据分析师
60,上海武创信息科技有限公司,6001-8000,数据分析师
61,上海三越软件科技有限公司,6001-8000,数据分析师
62,上海武创信息科技有限公司,6001-8000,数据分析师
63,沈阳茵特机电设备有限公司,6001-8000,数据分析师
64,沈阳茵特机电设备有限公司,6001-8000,数据分析师
65,沈阳茵特机电设备有限公司,6001-8000,数据分析师
66,上海三越软件科技有限公司,6001-8000,数据分析师
67,上海如创网络技术有限公司,6001-8000,数据分析师
68,沈阳茵特机电设备有限公司,6001-8000,数据分析师
69,上海如创网络技术有限公司,6001-8000,数据分析师
70,上海尼隆信息科技有限公司,6001-8000,数据分析师
71,上海三越软件科技有限公司,6001-8000,数据分析师
72,上海如创网络技术有限公司,6001-8000,数据分析师
73,上海武创信息科技有限公司,6001-8000,数据分析师
74,上海武创信息科技有限公司,6001-8000,数据分析师
75,上海尼隆信息科技有限公司,6001-8000,数据分析师
76,山东网上有名网络科技有限公司,6001-8000,数据分析师
77,上海尼隆信息科技有限公司,6001-8000,数据分析师
78,上海三越软件科技有限公司,6001-8000,数据分析师
79,上海三越软件科技有限公司,6001-8000,数据分析师
80,上海三越软件科技有限公司,6001-8000,数据分析师
81,上海武创信息科技有限公司,6001-8000,数据分析师
82,上海武创信息科技有限公司,6001-8000,数据分析师
83,上海尼隆信息科技有限公司,6001-8000,数据分析师
84,上海尼隆信息科技有限公司,6001-8000,数据分析师
85,上海武创信息科技有限公司,6001-8000,数据分析师
86,青岛东软睿道教育信息技术有限公司,4001-6000,数据分析师
87,青岛乾道电子商务有限公司,10001-15000,数据分析师
88,青岛楷瑞教育咨询有限公司,3000-6000,数据分析师
89,青岛科诺房地产经纪有限公司,2001-4000,数据分析师
90,青岛达内职业培训学校,4001-6000,数据分析师
91,青岛海联软件科技有限公司,10001-15000,数据分析师
